id,word,language
1,anal,en
2,anus,en
3,arse,en
4,ass,en
5,balls,en
6,ballsack,en
7,bastard,en
8,biatch,en
9,bitch,en
10,bloody,en
11,blow job,en
12,blowjob,en
13,bollock,en
14,bollok,en
15,boner,en
16,boob,en
17,bugger,en
18,bum,en
19,butt,en
20,buttplug,en
21,clitoris,en
22,cock,en
23,coon,en
24,crap,en
25,cunt,en
26,damn,en
27,dick,en
28,dildo,en
29,dyke,en
30,f u c k,en
31,fag,en
32,feck,en
33,felching,en
34,fellate,en
35,fellatio,en
36,flange,en
37,fuck,en
38,fudge packer,en
39,fudgepacker,en
40,God damn,en
41,Goddamn,en
42,hell,en
43,homo,en
44,jerk,en
45,jizz,en
46,knob end,en
47,knobend,en
48,labia,en
49,lmao,en
50,lmfao,en
51,muff,en
52,nigga,en
53,nigger,en
54,omg,en
55,penis,en
56,piss,en
57,poop,en
58,prick,en
59,pube,en
60,pussy,en
61,queer,en
62,s hit,en
63,scrotum,en
64,sex,en
65,sh1t,en
66,shit,en
67,slut,en
68,smegma,en
69,spunk,en
70,tit,en
71,tosser,en
72,turd,en
73,twat,en
74,vagina,en
75,wank,en
76,whore,en
77,wtf,en
