Key,Id,Shared Comment,English(en),English(en) Comments,Spanish(es),Spanish(es) Comments
UI.Experiment.Price,,,Price,,Precio,
UI.Experiment.DurationLabel,,,Duration,,Duración,
UI.Experiment.Launches,,,Launches,,Lanzamientos,
UI.Experiment.Buy,,,Buy,,Comprar ,
UI.Experiment.Duration1,,,Permanent,,Permanente,
UI.Experiment.Duration2,,,Three Launches,,Tres Lanzamientos,
UI.Experiment.Duration3,,,Three Uses,,Tres Usos ,
UI.Experiment.Experiment1.Name,,,Autopilot System,,Piloto Automático,
UI.Experiment.Experiment1.Description,,,O.S.C.A.R. Pilots Ship (Skips Rocket Launch Game),,"O.S.C.A.R Pilota el Cohete (
Salta el juego de lanzamiento de cohetes) ",
UI.Experiment.Experiment2.Name,,,Lateral Boosters,,Impulsores Laterales ,
UI.Experiment.Experiment2.Description,,,Makes Rocket Control More Responsive,,Hace que Rocket Control Sea Más Receptivo,
UI.Experiment.Experiment3.Name,,,Particle Shield,,Escudo de partículas,
UI.Experiment.Experiment3.Description,,,Allows Rocket to Pass Through Dark Matter,,Permite que Rocket Atraviese la Materia Oscura,
UI.Experiment.Experiment4.Name,,,Cow Catcher,,Atrapador de vacas,
UI.Experiment.Experiment4.Description,,,Rocket Withstands 3 Hits Without Losing Fuel,,Rocket Resiste 3 Golpes Sin Perder Combustible,
UI.Experiment.Experiment5.Name,,,Turbo Boost,,Turbo,
UI.Experiment.Experiment5.Description,,,Rocket Moves 1.5x Faster,,"El Cohete se Mueve 1,5 Veces Más Rápido",
UI.Experiment.Experiment6.Name,,,Da Bomb,,La Bomba,
UI.Experiment.Experiment6.Description,,,Destroys All Obstacles,,Destruye Todos los Obstáculos,
UI.Experiment.Experiment7.Name,,,Gem Magnet,,Imán De Gemas ,
UI.Experiment.Experiment7.Description,,,Pulls Gems Towards the Rocket,,Tira Gemas Hacia el Cohete,
