Key,Id,Shared Comment,English(en),English(en) Comments,Spanish(es),Spanish(es) Comments
UI.Researcher.Card.Header,,,Employee ID,,Make PeePee,
UI.Researcher.Card.Profile,,,Employee Profile,,Wooter Badooter,
UI.Researcher.Researcher1.Name,,,Newton Percival Carlton,,Newtonismo Percismo Carltismo,
UI.Researcher.Researcher1.FavoriteLabel,,,Favorite Video Game,,Big Eggo,
UI.Researcher.Researcher1.FavoriteText,,,This One,,McQueen,
UI.Researcher.Researcher1.Description,,,"Doesn’t do a lot of deep introspection, but will get the job done reliably.",,BURTEY BURTEY MC BURTO,
UI.Researcher.Researcher2.Name,,,Woodrow Jackson,,Woodismo Jacksonismo,
UI.Researcher.Researcher2.FavoriteLabel,,,Favorite Hobby,,LIKE TO,
UI.Researcher.Researcher2.FavoriteText,,,Sleeping,,NAP TIME,
UI.Researcher.Researcher2.Description,,,Was serving french fries at a fast food restaurant last month. Does good work when he applies himself.,,Big Cheesey Mang,
UI.Researcher.Researcher3.Name,,,Katerina Flufferovska,,BOOF,
UI.Researcher.Researcher3.FavoriteLabel,,,Favorite Instrument,,WHAT LIKE?,
UI.Researcher.Researcher3.FavoriteText,,,Fiddle,,FEET,
UI.Researcher.Researcher3.Description,,,"Trained at the world’s finest feline universities. Has cat like reflexes, but sometimes takes cat naps.",,AM KITTYEEE,
UI.Researcher.Researcher4.Name,,,Allen Orbital,,ALIEN GUY,
UI.Researcher.Researcher4.FavoriteLabel,,,Favorite Sport,,LIKE TO PLAY,
UI.Researcher.Researcher4.FavoriteText,,,Solar Wind Surfing,,POOPY BALLS,
UI.Researcher.Researcher4.Description,,,One of space’s most preeminent rocketry experts as well as a top cosmic sports athlete. Conducts great research when he isn’t distracted by his adoring fans.,,HE KNOW HOW TO DO,
UI.Researcher.Researcher5.Name,,,Burt Beansteen,,BEAN MAN,
UI.Researcher.Researcher5.FavoriteLabel,,,Favorite Food,,LIKE TO EAT,
UI.Researcher.Researcher5.FavoriteText,,,Beans,,BEAN,
UI.Researcher.Researcher5.Description,,,His knowledge of legumes is surpassed only by his knowledge of rocket science. Always researches quickly and masterfully.,,HE MAKE DO GOOD,
